pl_hostname,pl_name,pl_discmethod,pl_orbper,st_dist,st_mass,st_rad,pl_rade,pl_trandur,pl_tranmid,pl_facility
Kepler-1275,Kepler-1275 b,Transit,3.65691115,1280,1.23,1.36,1.48,0.08808,2454967.95397,Kepler
Kepler-1117,Kepler-1117 b,Transit,4.79028459,619,0.95,0.93,1.11,0.113696,2454967.95434,Kepler
Kepler-1034,Kepler-1034 b,Transit,12.12400943,706,0.83,0.8,2.26,0.138067,2454967.95556,Kepler
Kepler-1434,Kepler-1434 b,Transit,8.05333618,680,1.47,2.04,1.11,0.21988,2454967.96049,Kepler
Kepler-1219,Kepler-1219 b,Transit,16.10467749,622,1.25,1.94,2.12,0.23362,2454968.0157,Kepler
Kepler-1429,Kepler-1429 b,Transit,4.48487493,1156,1.05,1.07,1.29,0.1075,2454968.02778,Kepler
Kepler-1553,Kepler-1553 b,Transit,4.24261881,719,0.85,0.81,1.15,0.11075,2454968.03104,Kepler
Kepler-1001,Kepler-1001 b,Transit,14.30511983,1009,0.9,0.88,3.15,0.18537,2454968.06626,Kepler
Kepler-870,Kepler-870 b,Transit,21.3587621,1231,1.01,1.02,2.78,0.24604,2454968.07113,Kepler
Kepler-814,Kepler-814 b,Transit,6.1469851,1327,1.15,1.22,2.12,0.14133,2454968.074,Kepler
Kepler-771,Kepler-771 b,Transit,8.73485836,1000,1.03,1.05,1.82,0.18517,2454968.08331,Kepler
Kepler-918,Kepler-918 b,Transit,4.85386933,1245,1.11,1.14,1.74,0.11662,2454968.09437,Kepler
Kepler-1330,Kepler-1330 b,Transit,10.10769068,939,0.97,0.94,1.65,0.15238,2454968.10813,Kepler
Kepler-773,Kepler-773 b,Transit,3.74910006,528,1.04,1.01,1.43,0.076825,2454968.10921,Kepler
Kepler-990,Kepler-990 b,Transit,9.91723428,933,1.05,1.08,2.6,0.135821,2454968.13949,Kepler
Kepler-1582,Kepler-1582 b,Transit,4.83817712,112,0.28,0.3,1.49,0.0525,2454968.1468,Kepler
Kepler-1365,Kepler-1365 c,Transit,4.77468005,541,1,1.05,0.8,0.15871,2454968.1615,Kepler
Kepler-1006,Kepler-1006 b,Transit,19.76172042,496,0.78,0.74,1.54,0.149608,2454968.17642,Kepler
Kepler-777,Kepler-777 b,Transit,5.72812599,383,0.58,0.56,1.47,0.082517,2454968.18079,Kepler
Kepler-1627,Kepler-1627 b,Transit,7.20283653,311,0.87,0.84,3.69,0.12025,2454968.19376,Kepler
Kepler-1239,Kepler-1239 b,Transit,5.19104016,2511,1.4,1.57,2.9,0.17783,2454968.21466,Kepler
Kepler-465,Kepler-465 b,Transit,9.94067247,587,1.23,1.29,2.95,0.162525,2454968.215073,Kepler
Kepler-411,Kepler-411 c,Transit,7.83442788,153,0.83,0.79,3.27,0.116067,2454968.222776,Kepler
Kepler-993,Kepler-993 b,Transit,22.08557563,298,0.57,0.54,2.97,0.090079,2454968.23132,Kepler
Kepler-834,Kepler-834 b,Transit,13.32388301,620,0.7,0.66,2.02,0.136533,2454968.24446,Kepler
Kepler-1015,Kepler-1015 b,Transit,16.00494214,932,1.49,1.81,3.55,0.269367,2454968.25445,Kepler
Kepler-1546,Kepler-1546 b,Transit,19.5974971,994,0.95,0.93,3.13,0.16954,2454968.2547,Kepler
Kepler-829,Kepler-829 b,Transit,6.88337562,954,0.98,0.97,2.11,0.093508,2454968.26458,Kepler
Kepler-1642,Kepler-1642 c,Transit,6.6513802,447,0.88,0.84,2.66,0.088983,2454968.2762,Kepler
Kepler-1394,Kepler-1394 b,Transit,3.93766373,820,1.64,2.55,1.39,0.20483,2454968.27848,Kepler
Kepler-1370,Kepler-1370 b,Transit,20.2641684,878,1.19,1.29,1.84,0.17854,2454968.28245,Kepler
Kepler-840,Kepler-840 b,Transit,2.49577962,778,1.04,1.06,17.07,0.1775996,2454968.337166,Kepler
Kepler-1004,Kepler-1004 b,Transit,5.28789787,1080,1.11,3.39,6.28,0.35533,2454968.36353,Kepler
Kepler-962,Kepler-962 b,Transit,12.05707239,439,0.93,0.86,1.97,0.094158,2454968.41471,Kepler
Kepler-1497,Kepler-1497 b,Transit,8.74199772,1122,0.96,0.95,1.66,0.17904,2454968.4222,Kepler
Kepler-1073,Kepler-1073 c,Transit,4.02582254,837,1,1,1.64,0.115271,2454968.42601,Kepler
Kepler-1646,Kepler-1646 b,Transit,4.48558383,81,0.24,0.26,1.23,0.0342,2454968.43221,Kepler
Kepler-1425,Kepler-1425 b,Transit,14.4541302,499,0.97,0.95,0.94,0.29562,2454968.4467,Kepler
Kepler-1242,Kepler-1242 b,Transit,13.62798432,682,0.77,0.74,2.26,0.126963,2454968.45049,Kepler
Kepler-1536,Kepler-1536 b,Transit,364.758031,401,0.71,0.67,3.14,0.54192,2454968.4616,Kepler
Kepler-900,Kepler-900 b,Transit,6.9913086,505,0.78,0.73,2.08,0.092183,2454968.46263,Kepler
Kepler-271,Kepler-271 d,Transit,5.24972541,418,0.9,0.87,0.66,0.11525,2454968.46512,Kepler
Kepler-1241,Kepler-1241 b,Transit,18.5525701,936,0.84,0.8,2.63,0.17504,2454968.51046,Kepler
